 # l_c   lmin  lmax   D_l      +dD_l     -dD_l
   2.0     2     2   242.202   563.606   140.101
   3.0     3     3   886.209  1144.911   424.204
   4.0     4     4   728.107   697.007   307.903
   5.0     5     5  1391.614  1066.911   530.005
   6.0     6     6   542.605   357.904   191.802
   7.0     7     7  1122.711   647.206   367.304
   8.0     8     8   657.007   340.503   202.002
   9.0     9     9   649.006   310.903   191.102
  10.0    10    10   874.709   385.704   244.102
  11.0    11    11   986.010   403.904   262.203
  12.0    12    12   783.108   303.903   201.502
  13.0    13    13   678.707   250.103   168.702
  14.0    14    14   824.508   286.503   196.502
  15.0    15    15   877.409   291.803   203.102
  16.0    16    16   703.907   230.902   162.502
  17.0    17    17   881.209   272.003   193.802
  18.0    18    18   680.007   204.002   146.801
  19.0    19    19   841.808   244.402   177.602
  20.0    20    20   763.308   213.102   156.402
  21.0    21    21   670.407   184.902   136.701
  22.0    22    22   600.506   162.202   120.801
  23.0    23    23   774.008   201.302   151.002
  24.0    24    24   822.608   207.002   156.202
  25.0    25    25   848.708   211.302   160.702
  26.0    26    26   903.509   217.802   166.702
  27.0    27    27   897.509   210.502   161.802
  28.0    28    28  1142.311   261.603   201.702
  29.0    29    29  1140.011   255.503   198.302
  30.0    30    30   963.910   213.902   167.102
  31.0    31    31   924.909   199.302   156.002
  32.0    32    32  1438.414   301.103   236.602
  33.0    33    33   997.610   207.402   163.502
  34.0    34    34  1100.411   226.602   179.602
  35.0    35    35   959.510   194.802   154.602
  36.0    36    36  1141.411   226.302   180.402
  37.0    37    37  1364.214   266.503   212.902
  38.0    38    38  1253.113   242.002   194.102
  39.0    39    39  1255.113   238.302   191.602
  40.0    40    40  1947.819   361.004   291.203
  41.0    41    41  1208.312   223.502   180.702
  42.0    42    42  1298.013   236.702   192.202
  43.0    43    43  1352.914   241.602   196.802
  44.0    44    44  1188.012   213.202   174.102
  45.0    45    45   996.410   178.702   145.801
  46.0    46    46  1237.212   216.402   177.002
  47.0    47    47  1680.317   285.203   234.202
  48.0    48    48  1053.111   181.002   148.901
  49.0    49    49  1642.316   272.403   224.502
  50.0    50    50  1615.616   265.203   219.402
  51.0    51    51  1149.011   189.402   156.802
  52.0    52    52  1538.715   246.402   204.302
  53.0    53    53  1112.611   178.502   148.101
  54.0    54    54  1234.612   196.802   163.802
  55.0    55    55  1439.914   223.802   186.802
  56.0    56    56  1815.318   279.303   233.102
  57.0    57    57  1681.517   256.003   214.302
