  # ell             TT              EE              BB               TE 
    2   0.1082167E+04   0.4324387E-01   0.1928280E-05   0.3127898E+01
    3   0.1020830E+04   0.6984467E-01   0.3856462E-05   0.3874583E+01
    4   0.9612688E+03   0.7682275E-01   0.6409719E-05   0.3930539E+01
    5   0.9152659E+03   0.6616410E-01   0.9543269E-05   0.3609428E+01
    6   0.8823064E+03   0.4721394E-01   0.1339595E-04   0.3127453E+01
    7   0.8598364E+03   0.2946394E-01   0.1791959E-04   0.2596712E+01
    8   0.8455324E+03   0.1666128E-01   0.2311322E-04   0.2096232E+01
    9   0.8372067E+03   0.1014448E-01   0.2884127E-04   0.1685994E+01
   10   0.8335254E+03   0.7664938E-02   0.3521158E-04   0.1382057E+01
   11   0.8334468E+03   0.6545722E-02   0.4235567E-04   0.1185128E+01
   12   0.8362535E+03   0.5993781E-02   0.5006045E-04   0.1078361E+01
   13   0.8413069E+03   0.5683625E-02   0.5853108E-04   0.1040538E+01
   14   0.8480433E+03   0.5359417E-02   0.6754890E-04   0.1051573E+01
   15   0.8561887E+03   0.5033315E-02   0.7730598E-04   0.1095914E+01
   16   0.8655441E+03   0.4782797E-02   0.8776559E-04   0.1159158E+01
   17   0.8759083E+03   0.4688663E-02   0.9877898E-04   0.1226884E+01
   18   0.8871019E+03   0.4814019E-02   0.1104273E-03   0.1287573E+01
   19   0.8990201E+03   0.5163718E-02   0.1227227E-03   0.1341236E+01
   20   0.9115801E+03   0.5727126E-02   0.1356721E-03   0.1390765E+01
   21   0.9246964E+03   0.6492619E-02   0.1494813E-03   0.1439056E+01
   22   0.9382862E+03   0.7448211E-02   0.1637527E-03   0.1489004E+01
   23   0.9522745E+03   0.8589483E-02   0.1788038E-03   0.1542729E+01
   24   0.9666296E+03   0.9908576E-02   0.1946562E-03   0.1599253E+01
   25   0.9813274E+03   0.1140933E-01   0.2109414E-03   0.1656822E+01
   26   0.9963468E+03   0.1309242E-01   0.2279031E-03   0.1713691E+01
   27   0.1011664E+04   0.1495679E-01   0.2456022E-03   0.1768091E+01
   28   0.1027257E+04   0.1700342E-01   0.2639548E-03   0.1818285E+01
   29   0.1043102E+04   0.1923395E-01   0.2833482E-03   0.1862506E+01
   30   0.1059181E+04   0.2164023E-01   0.3031170E-03   0.1899257E+01
   31   0.1075485E+04   0.2424489E-01   0.3232018E-03   0.1927974E+01
   32   0.1092009E+04   0.2704701E-01   0.3443652E-03   0.1948350E+01
